[33mWARN[0m[2023-11-21 08:37:39] not enable search                            
[GIN] 2023/11/21 - 09:17:35 | 200 |      206.38µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:17:35 | 200 |     258.034µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:17:35 | 200 |     258.828µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:17:36 | 200 |     204.189µs |  192.168.15.118 | GET      "/@login?redirect=%2F"
[GIN] 2023/11/21 - 09:17:38 | 200 |     385.736µs |  192.168.15.118 | GET      "/assets/index.d81a3e4b.css"
[GIN] 2023/11/21 - 09:17:38 | 200 |   23.773388ms |  192.168.15.118 | GET      "/assets/index.2ea96c44.js"
[GIN] 2023/11/21 - 09:17:38 | 200 |     383.228µs |  192.168.15.118 | GET      "/assets/entry.fd8a49de.js"
[GIN] 2023/11/21 - 09:17:38 | 200 |     136.018µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/21 - 09:17:42 | 200 |     257.007µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:17:46 | 200 |      99.644µs |  192.168.15.118 | GET      "/static/manifest.json"
[GIN] 2023/11/21 - 09:19:07 | 200 |     204.607µs |  192.168.15.118 | GET      "/@login?redirect=%2F"
[GIN] 2023/11/21 - 09:19:07 | 200 |     195.638µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/21 - 09:19:18 | 200 |     116.198µs |  192.168.15.118 | GET      "/@login?redirect=%2F"
[GIN] 2023/11/21 - 09:19:19 | 200 |     163.068µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/21 - 09:19:24 | 200 |     261.517µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[36mINFO[0m[2023-11-21 09:20:19] closing db                                   
[33mWARN[0m[2023-11-21 09:20:44] not enable search                            
[GIN] 2023/11/21 - 09:22:45 | 200 |     354.736µs |  192.168.15.118 | GET      "/@login?redirect=%2F"
[GIN] 2023/11/21 - 09:22:45 | 200 |    1.483066ms |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/21 - 09:22:46 | 200 |     242.479µs |  192.168.15.118 | GET      "/@login?redirect=%2F"
[GIN] 2023/11/21 - 09:22:46 | 200 |     115.844µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/21 - 09:22:51 | 200 |    1.008879ms |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:23:04 | 200 |     208.601µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:26:49 | 200 |     247.611µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:26:56 | 200 |     345.491µs |  192.168.15.118 | POST     "/api/auth/login/hash"
